wind_speed,direction
7.507,196.858
7.198,194.47
7.02,194.036
6.335,184.014
5.706,180.0
5.604,170.134
5.179,153.997
4.518,136.005
4.243,128.418
4.464,132.797
4.237,125.91
3.867,111.161
4.509,110.726
4.527,112.068
4.568,113.806
3.21,98.13
5.457,108.004
4.671,94.514
3.954,96.34
5.721,87.51
3.683,71.565
2.839,64.44
2.394,65.772
1.857,84.289
6.044,104.3
5.944,101.113
6.636,101.31
5.828,104.743
5.61,106.336
4.355,99.62
4.059,63.435
2.925,69.887
4.457,69.114
4.503,69.114
3.381,71.114
3.555,72.284
2.85,68.791
2.612,65.695
3.151,61.783
4.483,59.743
7.182,55.376
9.37,50.673
8.351,52.073
8.224,45.431
7.562,43.332
6.514,32.005
6.801,19.885
6.949,354.644
3.128,24.444
3.27,186.34
2.172,229.764
4.648,201.801
5.975,188.297
6.718,185.29
6.27,156.037
6.51,143.807
6.836,141.009
6.412,142.224
6.206,139.145
6.36,140.631
7.076,153.886
7.475,146.575
7.835,143.31
7.558,142.943
7.496,148.392
7.361,151.314
7.477,159.444
7.605,156.801
8.294,156.915
7.833,153.435
7.647,151.763
6.91,149.744
7.07,140.711
7.173,153.435
7.169,129.428
7.245,115.253
7.705,114.52
7.235,108.741
7.32,114.842
7.124,117.897
7.544,126.304
7.282,113.962
7.954,97.125
7.588,104.264
8.821,102.265
8.788,96.52
9.106,99.462
9.009,90.0
8.966,87.614
8.665,72.35
9.126,76.535
9.154,79.765
8.887,87.58
8.69,82.569
9.547,77.957
8.948,78.071
10.03,77.856
10.43,78.425
10.78,76.908
11.329,73.644
11.593,77.407
12.123,77.047
12.607,73.673
11.776,74.291
11.701,82.444
12.935,83.199
14.269,79.408
15.991,72.745
14.649,67.77
15.092,61.425
14.961,54.825
15.683,47.463
17.103,38.29
17.716,37.568
15.909,46.848
15.36,35.028
14.613,19.335
16.552,1.332
18.355,345.964
12.931,347.106
6.443,334.026
10.115,309.987
9.826,276.582
12.308,259.136
12.691,254.876
17.015,260.744
18.62,256.665
17.633,248.039
16.261,249.185
15.722,249.063
15.394,246.801
12.901,245.746
10.397,235.561
9.376,213.887
8.792,215.972
8.449,223.299
6.902,234.926
5.779,242.301
6.367,240.396
7.887,240.593
7.85,241.763
7.764,241.314
7.277,242.103
5.873,230.965
5.38,229.686
6.352,229.635
7.423,225.659
6.371,213.69
5.386,206.565
5.737,221.424
7.821,211.122
6.426,197.745
5.622,199.231
4.317,191.634
5.253,195.945
4.398,171.87
5.196,167.619
3.61,132.274
2.711,116.565
2.724,102.804
2.609,81.87
2.909,94.764
2.513,95.44
1.982,104.036
1.312,68.199
1.101,69.444
1.073,90.0
2.576,98.13
3.034,156.501
3.278,143.973
4.121,95.042
6.618,87.955
5.553,107.281
5.239,95.194
6.115,108.104
6.741,106.504
7.179,90.0
6.718,90.0
7.153,94.686
8.303,90.0
9.336,81.363
10.357,76.759
11.204,70.994
11.652,67.989
12.638,63.204
13.854,56.441
11.907,52.365
12.781,41.633
12.49,25.821
12.651,18.61
14.421,11.788
14.659,1.507
9.541,359.204
7.12,336.038
4.641,215.218
11.961,234.758
15.254,241.074
15.712,236.976
15.562,237.236
14.14,240.191
13.396,236.149
11.874,230.029
9.245,225.579
8.072,225.0
9.682,226.042
9.035,218.784
7.502,221.553
7.078,215.417
6.773,209.876
6.513,195.255
6.252,201.595
6.761,204.702
6.902,206.565
6.402,207.553
6.866,207.474
7.229,211.799
7.833,221.785
7.992,228.814
8.802,218.157
9.351,227.726
8.695,212.784
9.394,214.931
8.095,225.63
7.618,221.009
6.954,216.87
6.481,218.83
6.293,216.87
7.901,222.455
7.009,230.856
6.379,237.265
6.622,244.916
8.096,243.435
9.478,239.689
9.573,235.069
8.723,233.297
8.805,234.273
8.228,241.876
9.067,239.172
10.444,238.213
10.692,234.072
10.808,243.733
10.824,233.924
10.3,233.409
10.684,227.366
9.887,226.023
9.132,217.807
9.73,210.203
11.362,211.938
10.895,205.096
8.939,204.775
7.996,208.968
6.828,199.722
6.54,213.147
6.251,190.408
5.791,170.538
5.83,162.3
4.566,150.255
4.107,142.815
1.892,176.634
3.645,133.781
3.947,138.503
2.484,135.0
1.898,154.799
3.154,145.713
4.94,127.147
5.098,143.13
5.244,136.591
6.591,119.876
6.589,121.329
5.148,118.706
5.693,105.068
5.425,96.009
6.743,86.532
7.667,78.996
8.606,72.284
8.218,65.026
8.353,64.312
6.32,70.346
6.337,61.157
5.708,62.02
6.009,58.696
6.274,47.911
6.511,46.005
5.336,30.828
2.593,17.281
1.954,12.529
1.841,22.62
1.671,87.709
1.984,98.13
2.079,95.194
2.01,147.995
3.387,146.634
3.986,134.256
3.685,121.675
4.394,114.538
4.316,114.075
4.606,113.334
5.082,109.058
6.123,96.766
5.182,91.042
5.201,92.203
5.562,87.754
5.214,87.709
5.296,84.053
5.002,76.264
5.204,71.966
5.666,73.686
6.45,72.031
6.217,22.443
5.5,21.318
3.126,46.636
3.23,48.18
4.818,317.121
2.914,249.146
5.347,210.736
6.744,199.44
8.293,188.616
7.679,183.752
6.962,190.305
6.726,193.241
6.571,181.102
8.724,187.431
4.799,188.973
6.627,181.081
4.967,208.496
6.256,199.885
6.686,200.807
5.924,204.944
5.885,216.384
8.498,212.989
8.949,208.355
10.119,217.03
9.436,202.166
9.256,204.567
7.857,183.27
8.066,180.83
7.047,183.225
6.271,183.945
7.721,184.332
7.818,179.132
7.73,170.69
7.301,163.034
7.522,162.15
6.516,154.398
6.604,149.421
6.671,146.611
6.194,137.353
6.678,125.272
5.911,114.444
6.296,109.502
5.789,107.281
5.839,104.036
5.289,100.784
6.524,87.797
6.214,97.765
6.777,99.866
5.814,91.193
5.014,90.0
5.876,79.796
6.179,77.005
4.844,77.196
3.015,90.0
4.769,73.856
6.113,58.449
4.154,57.465
3.221,59.172
8.418,61.004
9.595,65.821
10.418,66.482
11.589,68.025
12.083,66.318
11.579,65.158
11.837,60.899
11.493,58.24
11.395,56.689
11.809,57.458
12.239,52.352
12.07,45.909
10.698,47.632
10.898,42.022
11.176,34.606
10.713,28.835
10.574,23.552
10.697,25.641
11.257,19.12
8.262,20.323
7.425,20.956
6.794,41.285
6.073,45.674
6.287,54.462
4.588,53.13
4.683,28.61
5.931,39.035
6.659,38.157
7.376,37.45
7.813,30.651
10.313,11.853
10.828,359.342
11.895,349.16
12.069,337.652
13.144,331.26
14.742,323.902
15.548,316.302
12.369,305.134
12.613,302.125
13.919,297.022
10.929,297.451
9.333,297.255
8.201,270.0
8.628,264.123
9.224,248.629
11.88,241.343
14.247,230.258
14.122,217.381
15.945,215.066
12.933,200.556
13.075,194.967
13.429,187.524
12.303,184.128
10.717,176.594
10.356,170.882
9.308,161.811
8.292,119.219
5.2,109.747
5.956,92.386
5.992,98.297
4.644,158.749
6.361,161.222
6.013,156.037
6.212,167.347
4.919,145.491
6.592,153.925
4.024,133.727
6.964,117.013
8.086,124.418
9.382,127.942
8.889,135.579
9.619,137.675
