SETTLEMENTDATE,NEM,BARRA_speed,BARRA_dir,MERRA_speed,MERRA_dir
2012-01-01 12:00:00,5.85,6.17,-9.06,7.72,-6.75
2012-01-01 13:00:00,4.98,5.77,-7.22,7.86,-6.22
2012-01-01 14:00:00,5.78,5.77,-8.32,7.98,-6.79
2012-01-01 15:00:00,4.76,5.69,-11.43,7.97,-8.01
2012-01-01 16:00:00,3.72,6.77,-17.64,7.74,-9.54
2012-01-01 17:00:00,2.66,7.01,-17.39,7.46,-12.4
2012-01-01 18:00:00,1.83,6.35,-23.0,7.19,-16.38
2012-01-01 19:00:00,1.52,6.46,-22.46,6.82,-19.9
2012-01-01 20:00:00,1.37,7.45,-20.62,6.42,-23.63
2012-01-01 21:00:00,2.29,6.13,-20.3,6.07,-27.04
2012-01-01 22:00:00,2.34,6.2,-27.56,5.83,-29.16
2012-01-01 23:00:00,2.26,5.61,-36.84,5.73,-29.62
2012-01-02 00:00:00,1.3,4.88,-41.83,5.62,-29.49
2012-01-02 01:00:00,0.49,4.6,-44.98,5.36,-29.88
2012-01-02 02:00:00,0.88,4.6,-42.76,5.1,-30.17
2012-01-02 03:00:00,2.18,5.21,-49.78,4.94,-29.68
2012-01-02 04:00:00,3.4,4.67,-48.44,4.92,-29.02
2012-01-02 05:00:00,1.33,5.05,-56.97,4.76,-30.14
2012-01-02 06:00:00,0.87,4.54,-20.79,4.47,-33.55
2012-01-02 07:00:00,0.48,3.47,-25.63,3.99,-39.31
2012-01-02 08:00:00,0.4,3.61,-33.61,3.39,-46.57
2012-01-02 09:00:00,0.52,3.48,-52.04,2.86,-51.05
2012-01-02 10:00:00,0.92,4.35,-43.54,2.52,-46.34
2012-01-02 11:00:00,1.39,3.79,-36.59,2.68,-34.08
2012-01-02 12:00:00,1.48,5.31,-70.63,3.31,-27.11
2012-01-02 13:00:00,1.25,5.83,-61.44,3.91,-27.26
2012-01-02 14:00:00,1.06,4.41,-27.24,4.3,-27.1
2012-01-02 15:00:00,1.17,5.39,-27.74,4.67,-24.69
2012-01-02 16:00:00,1.21,5.74,-31.58,5.11,-22.18
2012-01-02 17:00:00,0.46,6.0,-28.69,5.21,-20.36
2012-01-02 18:00:00,1.22,5.44,-29.01,5.1,-21.51
2012-01-02 19:00:00,1.63,4.65,-36.49,5.09,-24.59
2012-01-02 20:00:00,0.78,5.68,-17.87,5.23,-25.95
2012-01-02 21:00:00,0.25,5.01,-11.76,5.4,-23.97
2012-01-02 22:00:00,0.15,4.59,-9.7,5.52,-22.64
