SETTLEMENTDATE,NEM,BARRA_speed,BARRA_dir,BARRA_dir_delta,BARRA_power,MERRA_speed,MERRA_dir,BARRA_error,MERRA_power
2017-01-01 12:00:00,7.64,6.12,118.14,-22.13,1.72,5.44,-69.05,-5.92,1.11
2017-01-01 13:00:00,3.86,7.29,96.01,-8.33,3.49,6.19,-68.4,-0.37,1.8
2017-01-01 14:00:00,3.32,9.19,87.68,1.62,8.63,6.86,-69.04,5.31,2.72
2017-01-01 15:00:00,6.28,10.14,89.3,0.7,11.64,7.42,-70.59,5.36,3.75
2017-01-01 16:00:00,7.36,10.55,90.0,-3.45,12.83,7.89,-73.19,5.47,4.82
2017-01-01 17:00:00,8.24,10.39,86.55,-5.35,12.38,8.22,-76.88,4.14,5.69
2017-01-01 18:00:00,8.32,10.89,81.2,-1.25,13.73,8.6,-80.6,5.41,6.78
2017-01-01 19:00:00,7.69,10.51,79.95,-2.63,12.72,8.81,-83.66,5.03,7.42
2017-01-01 20:00:00,6.25,10.75,77.32,2.99,13.37,8.99,-86.55,7.12,7.99
2017-01-01 21:00:00,7.56,10.81,80.31,1.36,13.52,9.12,-89.36,5.96,8.4
2017-01-01 22:00:00,6.7,10.83,81.67,-2.56,13.58,9.09,-92.12,6.88,8.31
2017-01-01 23:00:00,6.96,10.36,79.11,-6.21,12.29,9.06,-95.0,5.33,8.21
2017-01-02 00:00:00,8.33,10.71,72.9,-2.42,13.26,9.09,-98.54,4.93,8.31
2017-01-02 01:00:00,7.83,11.06,70.48,-0.35,14.14,8.95,-102.36,6.31,7.86
2017-01-02 02:00:00,7.96,11.57,70.13,-7.0,15.23,8.86,-105.96,7.27,7.58
2017-01-02 03:00:00,7.5,11.45,63.13,-5.27,14.99,8.78,-109.6,7.49,7.33
2017-01-02 04:00:00,4.25,12.26,57.86,-9.32,16.35,8.87,-113.74,12.1,7.61
2017-01-02 05:00:00,7.82,11.05,48.54,5.08,14.12,9.08,-117.86,6.3,8.27
2017-01-02 06:00:00,8.34,9.89,53.62,-2.67,10.87,9.49,-121.45,2.53,9.59
2017-01-02 07:00:00,11.48,9.79,50.95,6.77,10.56,9.58,-122.55,-0.92,9.89
2017-01-02 08:00:00,12.96,8.83,57.72,2.43,7.48,9.24,59.93,-5.48,8.79
2017-01-02 09:00:00,10.67,9.02,60.15,17.89,8.08,8.94,65.2,-2.59,7.83
2017-01-02 10:00:00,10.61,10.52,78.04,2.2,12.75,8.89,71.34,2.14,7.67
2017-01-02 11:00:00,13.75,11.41,80.24,4.46,14.91,9.14,77.83,1.16,8.47
2017-01-02 12:00:00,14.14,11.75,84.7,3.01,15.56,9.61,82.73,1.42,9.98
2017-01-02 13:00:00,18.04,12.09,87.71,-5.43,16.11,10.09,84.57,-1.93,11.49
2017-01-02 14:00:00,19.48,14.21,82.28,-3.22,17.95,10.45,84.42,-1.53,12.55
2017-01-02 15:00:00,18.44,14.48,79.06,-1.91,18.05,10.75,83.86,-0.39,13.37
2017-01-02 16:00:00,19.3,13.83,77.15,-3.9,17.77,10.89,83.04,-1.53,13.73
2017-01-02 17:00:00,19.4,14.2,73.25,-2.66,17.94,11.02,82.41,-1.46,14.04
2017-01-02 18:00:00,19.66,13.7,70.59,-4.13,17.69,11.19,82.53,-1.97,14.44
2017-01-02 19:00:00,19.47,13.62,66.46,-3.76,17.64,11.07,82.41,-1.83,14.16
2017-01-02 20:00:00,18.86,13.28,62.7,-3.37,17.41,11.11,81.2,-1.45,14.26
2017-01-02 21:00:00,18.13,12.66,59.33,-2.53,16.84,11.32,78.55,-1.29,14.72
2017-01-02 22:00:00,17.77,12.45,56.8,-0.32,16.6,11.44,75.63,-1.17,14.97
2017-01-02 23:00:00,17.3,12.5,56.48,-1.75,16.66,11.04,73.08,-0.64,14.09
2017-01-03 00:00:00,13.96,13.03,54.73,-0.67,17.21,10.83,71.45,3.25,13.58
2017-01-03 01:00:00,10.94,12.79,54.06,-1.3,16.98,10.75,70.09,6.04,13.37
2017-01-03 02:00:00,14.14,12.2,52.76,-2.05,16.27,10.48,68.93,2.13,12.64
2017-01-03 03:00:00,14.32,11.06,50.71,-1.7,14.14,10.18,67.6,-0.18,11.76
2017-01-03 04:00:00,16.36,10.89,49.01,-2.46,13.73,10.22,65.15,-2.63,11.88
2017-01-03 05:00:00,16.96,11.12,46.55,2.77,14.28,10.21,61.14,-2.68,11.85
2017-01-03 06:00:00,15.92,10.53,49.32,1.12,12.78,9.82,55.47,-3.14,10.65
2017-01-03 07:00:00,12.24,8.61,50.44,0.35,6.81,9.12,51.24,-5.43,8.4
2017-01-03 08:00:00,3.78,6.86,50.79,0.12,2.72,8.1,48.32,-1.06,5.36
2017-01-03 09:00:00,1.03,5.21,50.91,12.53,0.96,6.8,45.89,-0.07,2.62
2017-01-03 10:00:00,0.21,4.47,63.44,0.0,0.58,5.3,54.85,0.37,1.02
2017-01-03 11:00:00,0.29,3.69,63.44,17.4,0.34,5.07,73.66,0.05,0.87
2017-01-03 12:00:00,0.46,2.2,80.84,-5.77,0.0,6.02,89.04,-0.46,1.62
2017-01-03 13:00:00,1.36,2.28,75.07,24.94,0.0,7.13,96.69,-1.36,3.18
2017-01-03 14:00:00,1.09,2.68,100.01,-10.92,0.0,8.12,98.75,-1.09,5.42
2017-01-03 15:00:00,1.2,6.82,89.09,-5.84,2.65,9.0,97.88,1.45,8.02
2017-01-03 16:00:00,0.64,8.56,83.25,-3.35,6.66,9.72,94.94,6.02,10.33
2017-01-03 17:00:00,1.19,8.64,79.9,5.13,6.9,10.11,91.9,5.71,11.55
2017-01-03 18:00:00,2.66,8.4,85.03,-4.86,6.19,9.88,89.36,3.53,10.84
2017-01-03 19:00:00,4.36,9.8,80.17,-6.6,10.59,9.18,85.26,6.23,8.59
2017-01-03 20:00:00,5.48,10.51,73.57,-2.86,12.72,8.9,80.29,7.24,7.7
2017-01-03 21:00:00,2.7,11.57,70.71,-3.91,15.23,8.74,75.83,12.53,7.21
2017-01-03 22:00:00,2.86,11.66,66.8,4.76,15.39,8.56,72.75,12.53,6.66
2017-01-03 23:00:00,2.34,8.74,71.56,9.86,7.21,8.34,71.83,4.87,6.02
2017-01-04 00:00:00,2.72,8.27,81.42,-7.22,5.83,8.14,72.45,3.11,5.47
2017-01-04 01:00:00,5.88,8.66,74.2,-4.61,6.96,7.94,74.04,1.08,4.95
2017-01-04 02:00:00,9.41,8.44,69.59,-3.55,6.31,7.83,75.91,-3.1,4.68
2017-01-04 03:00:00,6.6,8.95,66.04,-3.74,7.86,7.82,77.77,1.26,4.65
2017-01-04 04:00:00,1.95,8.4,62.3,9.26,6.19,7.97,79.27,4.24,5.03
2017-01-04 05:00:00,0.2,7.0,71.56,2.3,2.95,8.04,80.2,2.75,5.21
2017-01-04 06:00:00,0.63,7.89,73.86,-1.92,4.82,7.57,80.24,4.19,4.07
2017-01-04 07:00:00,1.96,8.34,71.94,3.78,6.02,8.31,75.43,4.06,5.94
2017-01-04 08:00:00,1.45,8.28,75.72,1.48,5.85,8.81,75.16,4.4,7.42
2017-01-04 09:00:00,3.11,9.38,77.2,0.35,9.24,9.26,74.36,6.13,8.85
2017-01-04 10:00:00,6.85,10.05,77.55,1.87,11.37,9.29,77.76,4.52,8.95
2017-01-04 11:00:00,14.92,10.89,79.42,1.12,13.73,9.64,81.78,-1.19,10.08
2017-01-04 12:00:00,15.11,11.68,80.54,-0.85,15.43,10.27,83.68,0.32,12.03
2017-01-04 13:00:00,19.0,11.69,79.69,-1.74,15.45,11.06,84.04,-3.55,14.14
2017-01-04 14:00:00,19.64,13.47,77.95,-4.23,17.55,12.12,83.4,-2.09,16.15
2017-01-04 15:00:00,19.73,16.31,73.72,-2.16,18.43,13.58,81.3,-1.3,17.62
2017-01-04 16:00:00,19.77,17.64,71.56,-1.04,18.52,14.82,77.09,-1.25,18.16
2017-01-04 17:00:00,19.76,17.94,70.52,1.04,18.53,15.43,72.75,-1.23,18.3
2017-01-04 18:00:00,19.73,16.61,71.56,-2.77,18.45,15.33,69.89,-1.28,18.28
2017-01-04 19:00:00,19.54,17.24,68.79,-2.32,18.5,14.43,68.53,-1.04,18.03
2017-01-04 20:00:00,19.5,17.59,66.47,-8.08,18.51,13.77,64.91,-0.99,17.73
2017-01-04 21:00:00,19.44,16.89,58.39,-6.44,18.48,13.74,60.03,-0.96,17.72
2017-01-04 22:00:00,17.54,16.52,51.95,-0.16,18.45,13.61,54.82,0.91,17.64
2017-01-04 23:00:00,16.26,15.7,51.79,-1.16,18.35,13.22,50.7,2.09,17.36
2017-01-05 00:00:00,16.47,15.55,50.63,0.49,18.32,12.54,47.85,1.85,16.7
2017-01-05 01:00:00,17.95,14.77,51.12,-0.52,18.15,11.49,44.87,0.2,15.07
2017-01-05 02:00:00,15.83,14.82,50.6,2.22,18.16,10.19,40.04,2.33,11.79
2017-01-05 03:00:00,10.2,14.37,52.82,-0.39,18.01,9.16,30.02,7.81,8.53
2017-01-05 04:00:00,2.52,13.12,52.43,-5.45,17.28,8.23,17.96,14.76,5.72
2017-01-05 05:00:00,0.48,8.61,46.98,-4.1,6.81,7.29,4.95,6.33,3.49
2017-01-05 06:00:00,3.48,5.51,42.88,208.68,1.17,5.59,347.49,-2.31,1.23
2017-01-05 07:00:00,5.16,4.75,251.56,-21.03,0.7,6.2,319.6,-4.46,1.81
2017-01-05 08:00:00,2.48,3.55,230.53,19.82,0.31,7.87,299.96,-2.17,4.77
2017-01-05 09:00:00,6.12,8.19,250.35,5.18,5.61,8.0,289.28,-0.51,5.1
2017-01-05 10:00:00,6.0,8.61,255.53,-14.27,6.81,7.56,280.19,0.81,4.05
2017-01-05 11:00:00,6.31,8.93,241.26,-1.52,7.8,7.36,266.59,1.49,3.63
2017-01-05 12:00:00,11.9,11.54,239.74,0.68,15.17,8.02,252.19,3.27,5.15
2017-01-05 13:00:00,17.36,12.0,240.42,1.88,15.97,9.11,244.16,-1.39,8.37
2017-01-05 14:00:00,18.16,12.5,242.3,-1.59,16.66,9.54,238.34,-1.5,9.76
2017-01-05 15:00:00,18.23,13.3,240.71,2.14,17.43,9.63,234.78,-0.8,10.05
2017-01-05 16:00:00,18.26,12.91,242.85,-2.43,17.1,10.35,235.03,-1.16,12.27
2017-01-05 17:00:00,18.34,13.39,240.42,14.43,17.49,11.69,239.81,-0.85,15.45
2017-01-05 18:00:00,18.34,16.5,254.85,-10.35,18.44,13.09,250.19,0.1,17.26
2017-01-05 19:00:00,18.29,21.45,244.5,4.2,18.57,16.89,259.11,0.28,18.48
2017-01-05 20:00:00,17.45,18.57,248.7,9.71,18.54,18.69,259.35,1.09,18.55
2017-01-05 21:00:00,11.08,11.96,258.41,5.25,15.91,16.47,260.72,4.83,18.44
2017-01-05 22:00:00,6.96,10.96,263.66,30.3,13.9,15.16,263.45,6.94,18.25
