cut_in_speed,wind_curve_V0,wind_curve_b,powerScale,error_percent,error_abs,kde_error
3.671,9.903,0.799,0.818,9.5,5650.0,479.0
2.082,9.939,0.691,0.829,10.0,5943.0,412.0
3.417,9.666,1.096,0.809,12.1,7181.0,600.0
2.683,9.899,0.483,0.813,13.5,8008.0,293.0
3.087,9.943,0.416,0.821,13.8,8172.0,315.0
2.463,9.595,0.888,0.83,14.6,8656.0,518.0
2.763,9.814,1.165,0.877,15.4,9135.0,589.0
3.186,9.896,0.871,0.865,15.5,9207.0,483.0
3.047,9.793,0.385,0.829,16.5,9803.0,378.0
3.724,9.813,0.873,0.875,17.1,10142.0,481.0
2.421,9.728,1.103,0.854,17.4,10332.0,569.0
3.753,9.991,1.159,0.909,18.1,10747.0,592.0
3.293,9.766,0.259,0.83,18.2,10779.0,646.0
2.382,9.969,1.179,0.883,18.5,10973.0,598.0
3.921,9.696,0.957,0.86,18.8,11168.0,516.0
3.462,9.688,0.915,0.858,19.3,11428.0,498.0
3.659,9.342,0.811,0.818,19.8,11733.0,478.0
3.271,9.843,0.542,0.879,20.0,11887.0,297.0
3.721,9.271,1.025,0.814,20.1,11929.0,570.0
2.218,9.787,0.612,0.865,20.3,12033.0,323.0
2.594,10.0,0.802,0.913,20.5,12159.0,436.0
2.508,9.298,0.718,0.811,21.3,12650.0,432.0
3.636,9.891,0.943,0.912,21.5,12745.0,507.0
3.028,9.607,0.805,0.84,21.7,12864.0,444.0
3.55,9.346,0.469,0.822,22.1,13133.0,384.0
2.1,9.358,0.468,0.814,22.6,13435.0,370.0
3.632,9.5,0.973,0.847,22.7,13459.0,518.0
3.349,9.156,0.942,0.805,22.7,13480.0,540.0
2.877,9.69,0.553,0.846,22.7,13480.0,312.0
3.154,9.47,1.072,0.847,22.8,13545.0,554.0
3.112,9.115,1.04,0.806,23.2,13743.0,576.0
3.032,9.438,1.133,0.878,23.2,13795.0,572.0
3.022,9.736,1.159,0.89,23.5,13941.0,588.0
2.611,9.759,1.026,0.89,23.7,14059.0,540.0
3.705,9.069,1.101,0.827,23.9,14161.0,596.0
3.673,9.802,0.259,0.878,23.9,14175.0,626.0
2.729,9.587,0.613,0.868,23.9,14182.0,338.0
