year,month,NEM,BARRA,
2018,1,4205,3531,-0.160
2018,2,4028,3167,-0.214
2018,3,5733,5228,-0.088
2018,4,2620,3599,0.374
2018,5,3862,6264,0.622
2018,6,2109,5104,1.420
2018,7,5469,6121,0.119
2018,8,6526,6686,0.025
2018,9,5341,5676,0.063
2018,10,3608,4075,0.129
2018,11,4230,3809,-0.100
2018,12,3013,2790,-0.074
2017,1,4499,4193,-0.068
2017,2,4192,4885,0.165
2017,3,3605,4823,0.338
2017,4,2556,2767,0.083
2017,5,4071,5561,0.366
2017,6,3398,4717,0.388
2017,7,6325,8982,0.420
2017,8,5574,7788,0.397
2017,9,4706,5815,0.236
2017,10,5600,6754,0.206
2017,11,4581,5462,0.192
2017,12,4072,3900,-0.042
2016,1,5471,7217,0.319
2016,2,4092,5198,0.270
2016,3,4310,5740,0.332
2016,4,4262,5672,0.331
2016,5,5155,7335,0.423
2016,6,5417,7537,0.391
2016,7,5747,8170,0.422
2016,8,3585,8074,1.252
2016,9,4738,6347,0.340
2016,10,6069,7870,0.297
2016,11,3399,3852,0.133
2016,12,5512,5897,0.070
2015,1,5809,7088,0.220
2015,2,4397,5012,0.140
2015,3,4003,4724,0.180
2015,4,4263,5916,0.388
2015,5,4342,5679,0.308
2015,6,4508,7213,0.600
2015,7,5261,7180,0.365
2015,8,4489,6386,0.423
2015,9,4524,6223,0.376
2015,10,4583,6646,0.450
2015,11,5130,5720,0.115
2015,12,5542,6155,0.111
2014,1,5147,5701,0.108
2014,2,4912,5414,0.102
2014,3,5164,5937,0.150
2014,4,3776,4056,0.074
2014,5,5170,8252,0.596
2014,6,5575,7642,0.371
2014,7,6342,9009,0.421
2014,8,4152,6584,0.586
2014,9,4918,6721,0.367
2014,10,5185,6187,0.193
2014,11,4806,5502,0.145
2014,12,4636,4587,-0.011
2013,1,4683,5334,0.139
2013,2,5179,6146,0.187
2013,3,3840,4613,0.201
2013,4,2523,3686,0.461
2013,5,4120,5422,0.316
2013,6,3971,6539,0.647
2013,7,5378,7927,0.474
2013,8,5501,8831,0.605
2013,9,5814,9263,0.593
2013,10,5327,7006,0.315
2013,11,7027,8274,0.177
2013,12,3862,4126,0.068
2012,1,7294,7363,0.009
2012,2,3867,4496,0.163
2012,3,5049,5502,0.090
2012,4,4767,5868,0.231
2012,5,3785,5022,0.327
2012,6,6146,8129,0.323
2012,7,3852,5822,0.511
2012,8,4974,7784,0.565
2012,9,4447,7633,0.716
2012,10,2963,6255,1.111
2012,11,3914,5452,0.393
2012,12,4316,5158,0.195
2011,1,5916,5852,-0.011
2011,2,5565,7228,0.299
2011,3,4606,4502,-0.023
2011,4,4800,6144,0.280
2011,5,3521,4765,0.353
2011,6,5891,8784,0.491
2011,7,4992,5838,0.169
2011,8,5839,7700,0.319
2011,9,5765,7637,0.325
2011,10,4797,5270,0.099
2011,11,5934,7043,0.187
2011,12,4968,5432,0.093
2010,1,3913,4095,0.047
2010,2,3844,4142,0.078
2010,3,5066,5858,0.156
2010,4,4048,4453,0.100
2010,5,4244,4175,-0.016
2010,6,4040,5116,0.266
2010,7,5550,7425,0.338
2010,8,4957,5587,0.127
2010,9,4337,5223,0.204
2010,10,5060,5049,-0.002
2010,11,5485,4962,-0.095
2010,12,5507,5154,-0.064
