wind_speed,direction
1.803,90.0
1.097,135.0
1.24,208.61
2.574,221.82
3.463,225.0
3.778,210.7
2.93,203.963
2.054,204.775
2.913,231.009
3.582,233.13
4.265,222.51
4.186,240.255
7.052,243.435
7.69,236.976
6.483,228.991
5.806,238.671
4.95,228.814
4.166,232.125
2.969,56.31
2.564,34.695
2.027,8.746
2.344,342.897
3.493,319.086
4.035,286.928
4.586,243.435
5.801,232.524
6.431,225.0
6.68,212.8
7.523,201.975
7.157,192.095
5.215,190.954
5.317,196.144
5.831,186.116
6.078,183.814
7.136,178.315
6.586,172.674
3.992,190.176
2.906,180.0
3.373,163.142
3.55,163.856
4.486,182.936
4.418,165.651
4.362,146.31
3.714,132.879
2.807,104.47
1.918,95.194
1.874,90.0
2.676,105.945
3.029,114.567
4.449,116.565
3.991,107.447
3.751,113.429
3.93,115.821
4.461,115.201
5.836,109.654
7.032,103.536
6.438,93.24
7.237,70.346
7.46,53.902
7.108,40.601
6.782,45.0
5.965,35.676
4.464,30.141
4.354,34.077
4.206,22.38
3.135,16.927
3.352,13.57
3.038,2.045
2.301,357.274
1.448,345.964
0.825,90.0
2.054,70.71
1.823,60.255
2.481,57.095
2.746,65.772
3.322,110.556
1.18,65.225
2.482,103.392
2.475,120.256
3.022,112.932
5.4,74.745
7.455,85.389
7.85,63.435
7.936,65.433
8.196,64.359
9.036,57.863
9.523,52.651
8.838,47.291
8.679,42.672
8.304,42.594
6.83,34.796
6.381,31.827
5.595,31.122
5.217,30.801
6.175,31.239
6.25,34.508
3.77,32.735
2.707,45.0
4.102,67.89
4.053,81.384
4.541,69.274
3.713,70.463
3.576,84.472
3.264,78.69
6.437,69.325
9.794,50.194
12.338,38.565
10.355,17.488
8.888,36.219
9.929,33.366
8.975,25.71
7.625,21.666
6.564,16.164
5.319,15.819
4.905,8.427
4.08,1.245
3.995,347.619
3.405,338.499
2.962,339.228
3.624,6.71
2.701,336.802
1.091,345.964
2.085,135.0
1.034,9.462
4.597,291.038
7.484,210.828
6.983,218.047
8.167,196.771
8.451,195.322
9.304,178.132
8.247,167.255
7.781,160.396
6.195,162.096
6.467,147.724
7.021,144.782
7.136,137.021
7.155,127.266
6.85,123.959
6.437,127.954
4.795,109.885
4.558,105.945
4.182,102.095
3.767,72.031
3.229,52.765
3.042,140.194
3.383,136.169
5.963,147.529
6.763,147.171
7.235,149.421
7.204,144.462
5.704,133.228
4.222,98.471
3.617,108.97
3.662,140.44
4.292,167.661
4.765,144.162
6.687,126.501
6.583,145.081
7.354,129.289
6.903,104.657
5.235,91.061
3.636,91.432
6.377,96.429
5.674,90.0
4.781,92.045
4.794,91.023
5.28,98.259
6.374,109.558
6.72,120.256
7.281,115.974
8.663,120.069
10.043,125.69
10.393,124.408
11.111,123.354
10.419,122.699
9.939,106.543
7.625,98.471
6.651,90.716
6.342,79.046
5.363,90.0
4.353,81.469
3.718,90.0
3.363,94.185
