cut_in_speed,wind_curve_V0,wind_curve_b,powerScale,error_percent,error_abs,kde_error
3.745,7.317,0.985,0.901,0.2,1053.0,150.0
3.82,7.017,0.972,0.839,0.3,1879.0,128.0
3.481,7.688,0.952,0.989,-0.3,2016.0,158.0
2.551,7.756,0.211,0.883,0.4,2462.0,676.0
2.263,8.586,0.265,0.988,-0.5,3281.0,519.0
2.243,7.273,1.017,0.88,-0.5,3476.0,166.0
2.697,7.55,0.483,0.907,-0.5,3590.0,183.0
2.946,7.367,0.354,0.874,0.6,4298.0,380.0
3.907,7.557,0.419,0.929,-0.8,5111.0,264.0
3.295,7.673,0.369,0.933,0.8,5392.0,329.0
2.407,7.573,0.463,0.902,-0.8,5485.0,210.0
3.789,6.706,0.417,0.817,0.9,5894.0,323.0
2.262,7.119,0.74,0.838,-0.9,5992.0,54.0
3.78,7.419,0.994,0.914,-0.9,6287.0,157.0
3.469,7.564,0.205,0.911,0.9,6347.0,613.0
2.504,7.347,0.957,0.912,1.0,6677.0,150.0
3.019,7.123,0.324,0.831,-1.0,6781.0,450.0
2.538,7.608,0.559,0.922,-1.1,7627.0,97.0
2.339,7.237,0.37,0.834,-1.2,8037.0,380.0
2.682,7.097,0.552,0.849,1.2,8404.0,130.0
3.043,7.578,0.809,0.94,-1.3,8662.0,103.0
2.891,8.129,0.29,0.945,-1.6,10721.0,469.0
2.563,6.841,0.792,0.809,1.6,10903.0,56.0
2.079,7.391,0.75,0.884,-1.7,11430.0,73.0
3.633,6.916,0.323,0.827,-1.7,11553.0,444.0
3.02,7.663,0.374,0.937,1.8,11939.0,325.0
2.112,8.081,0.373,0.988,1.9,12575.0,313.0
2.194,7.743,0.622,0.95,-1.9,12904.0,52.0
2.953,7.637,0.579,0.923,-1.9,13163.0,74.0
3.912,7.247,0.664,0.865,-2.0,13344.0,55.0
2.317,7.603,0.661,0.921,-2.3,15319.0,50.0
3.86,6.819,0.892,0.819,2.3,15596.0,98.0
3.034,8.32,0.278,0.963,-2.3,15756.0,479.0
2.417,6.809,0.571,0.807,2.5,16743.0,128.0
2.606,7.608,0.762,0.93,-2.5,17078.0,89.0
2.339,7.975,0.342,0.918,-2.5,17187.0,389.0
3.52,6.952,0.46,0.852,2.6,17582.0,246.0
2.979,7.386,0.938,0.887,-2.7,18548.0,145.0
2.208,8.081,0.514,0.993,-2.8,19041.0,125.0
2.72,7.811,0.503,0.991,2.9,19914.0,134.0
2.092,7.675,0.931,0.954,-3.0,20102.0,159.0
3.126,7.131,0.837,0.829,-3.0,20166.0,86.0
2.63,7.848,0.653,0.966,-3.1,21245.0,51.0
2.839,7.558,0.21,0.844,-3.2,21451.0,689.0
3.401,7.252,0.266,0.841,-3.2,21524.0,541.0
2.692,7.737,0.572,0.992,3.3,22446.0,68.0
2.962,7.513,1.055,0.978,3.4,22707.0,180.0
3.424,7.278,0.662,0.851,-3.4,22853.0,34.0
3.123,7.544,1.124,0.923,-3.4,22953.0,202.0
2.614,7.578,0.362,0.923,3.4,23206.0,352.0
3.23,7.456,0.845,0.961,3.7,24756.0,108.0
2.594,7.613,0.417,0.947,3.8,26005.0,262.0
3.633,7.889,0.63,0.976,-3.9,26119.0,23.0
3.638,7.43,1.05,0.889,-3.9,26408.0,177.0
3.546,7.377,1.19,0.952,4.2,28494.0,203.0
3.487,6.741,1.037,0.811,4.2,28502.0,139.0
3.269,6.66,0.448,0.82,4.2,28634.0,280.0
2.969,7.824,0.231,0.945,4.3,28953.0,572.0
3.266,8.248,0.33,0.965,-4.3,29167.0,377.0
3.217,7.952,0.561,0.969,-4.5,30278.0,74.0
3.964,7.832,0.317,0.932,-4.5,30446.0,405.0
3.16,7.068,0.499,0.877,4.6,31241.0,187.0
3.026,7.187,0.216,0.884,4.7,31681.0,617.0
2.886,8.586,0.259,0.956,-4.7,31992.0,528.0
3.735,7.312,1.132,0.859,-4.8,32226.0,194.0
3.042,7.571,0.225,0.924,4.8,32342.0,583.0
2.728,7.339,0.279,0.894,4.9,32959.0,506.0
2.36,7.551,0.417,0.94,4.9,33112.0,263.0
2.75,7.609,0.319,0.848,-5.1,34818.0,459.0
3.42,7.152,0.77,0.811,-5.3,35905.0,48.0
3.394,6.796,0.716,0.836,5.4,36764.0,66.0
3.022,7.543,0.555,0.869,-5.5,37242.0,109.0
2.634,8.67,0.273,0.961,-5.5,37427.0,506.0
2.969,7.8,0.584,0.923,-5.6,38112.0,68.0
3.334,7.816,0.508,0.921,-5.8,39210.0,140.0
2.17,8.085,0.587,0.983,-5.8,39214.0,75.0
3.598,7.265,1.098,0.937,5.8,39529.0,178.0
3.895,7.103,0.918,0.801,-5.9,39896.0,108.0
3.943,7.186,0.338,0.939,6.0,40781.0,370.0
2.657,7.387,0.714,0.954,6.0,40908.0,55.0
3.986,7.625,0.659,0.903,-6.1,41097.0,33.0
3.715,8.092,0.586,0.998,-6.1,41397.0,40.0
2.885,7.807,0.319,0.868,-6.2,42082.0,445.0
3.563,6.92,0.892,0.868,6.3,42708.0,97.0
2.903,7.735,1.166,0.947,-6.3,42798.0,218.0
2.094,7.458,1.064,0.872,-6.5,44034.0,189.0
3.962,7.502,1.103,0.885,-6.5,44245.0,193.0
3.518,7.809,0.266,0.875,-6.7,45049.0,525.0
3.283,7.456,0.795,0.862,-6.7,45152.0,87.0
2.758,6.805,1.042,0.844,6.7,45186.0,149.0
2.734,7.55,0.367,0.83,-6.8,46179.0,379.0
2.936,7.337,1.144,0.844,-6.8,46265.0,202.0
2.099,6.727,0.491,0.826,6.9,46467.0,211.0
3.135,6.599,0.74,0.813,7.0,47694.0,70.0
3.278,6.733,1.082,0.833,7.1,47944.0,154.0
2.317,8.077,0.215,0.967,7.2,48686.0,622.0
2.534,7.331,0.754,0.954,7.3,49155.0,69.0
2.829,7.032,0.729,0.891,7.3,49335.0,51.0
3.56,7.127,0.499,0.922,7.4,50078.0,182.0
2.82,6.848,0.879,0.858,7.4,50204.0,91.0
3.767,7.9,1.089,0.981,-7.5,50748.0,206.0
2.106,7.573,0.465,0.838,-7.5,50999.0,229.0
2.086,7.705,0.587,0.88,-7.5,51074.0,93.0
2.862,7.526,0.471,0.838,-7.6,51766.0,219.0
2.014,7.994,0.823,0.985,-7.7,51864.0,142.0
2.733,7.665,0.523,0.867,-7.7,52055.0,145.0
3.759,7.867,1.039,0.967,-7.7,52224.0,193.0
3.641,6.741,1.009,0.841,7.8,52559.0,132.0
2.881,8.115,0.353,0.906,-7.8,52893.0,367.0
2.526,6.979,0.583,0.881,7.9,53542.0,94.0
2.561,7.309,0.948,0.961,8.0,54199.0,142.0
3.856,7.963,0.228,0.892,-8.1,54763.0,585.0
2.438,7.862,0.257,0.827,-8.1,54827.0,608.0
2.858,6.813,1.178,0.856,8.3,56213.0,184.0
2.701,7.536,0.554,0.994,8.3,56313.0,88.0
2.067,7.398,0.374,0.935,8.5,57296.0,331.0
2.77,7.849,0.505,0.889,-8.5,57383.0,156.0
2.385,6.869,0.657,0.867,8.5,57672.0,52.0
2.961,7.791,0.923,0.93,-8.5,57826.0,163.0
3.736,6.09,0.231,0.864,8.6,58048.0,533.0
3.892,7.085,0.752,0.925,8.6,58391.0,91.0
2.992,7.773,1.021,0.929,-8.7,58617.0,190.0
3.614,6.307,0.43,0.822,8.7,58783.0,313.0
3.617,7.481,0.706,0.846,-8.8,59320.0,33.0
2.398,7.709,0.698,0.885,-8.8,59360.0,70.0
3.728,6.015,0.299,0.833,9.0,60807.0,461.0
3.763,7.347,0.916,0.824,-9.1,61683.0,126.0
2.474,6.735,1.039,0.846,9.1,61688.0,145.0
2.938,7.134,1.044,0.934,9.2,62339.0,161.0
2.442,8.69,0.226,0.89,-9.3,62668.0,653.0
3.014,7.698,0.371,0.837,-9.3,63021.0,363.0
2.082,7.769,0.971,0.917,-9.6,65041.0,179.0
3.513,6.598,1.13,0.825,9.7,65607.0,161.0
3.911,7.643,0.953,0.888,-9.7,65640.0,157.0
3.861,8.752,0.271,0.983,-9.7,65720.0,472.0
2.409,7.184,0.523,0.928,9.8,66061.0,138.0
3.238,7.566,0.764,0.853,-10.0,67982.0,81.0
3.133,8.031,1.14,0.999,-10.0,67991.0,226.0
3.709,9.084,0.244,0.998,-10.1,68610.0,524.0
3.417,7.354,0.61,0.805,-10.2,69172.0,77.0
2.31,8.004,0.967,0.974,-10.3,69674.0,188.0
2.805,8.668,0.201,0.871,-10.4,70129.0,711.0
2.73,8.037,0.978,0.985,-10.4,70610.0,192.0
3.186,7.147,0.974,0.948,10.6,71681.0,139.0
2.604,6.52,0.583,0.825,10.6,71887.0,126.0
3.982,6.539,0.757,0.841,10.6,71909.0,127.0
2.658,6.6,0.444,0.847,10.7,72293.0,274.0
3.174,7.936,0.71,0.925,-10.7,72327.0,81.0
3.246,7.636,0.65,0.852,-10.7,72514.0,43.0
2.045,7.069,0.375,0.905,10.8,73381.0,341.0
2.454,6.866,0.219,0.885,10.8,73381.0,625.0
2.955,6.473,0.564,0.828,10.9,73582.0,155.0
2.614,7.044,0.638,0.918,10.9,73894.0,56.0
2.131,6.714,0.813,0.858,10.9,73936.0,74.0
2.403,8.342,0.515,0.967,-10.9,74001.0,134.0
2.384,7.517,0.493,0.801,-11.0,74335.0,207.0
2.208,7.731,0.643,0.863,-11.0,74484.0,71.0
2.964,6.94,0.454,0.906,11.1,75009.0,238.0
