,ucmp,vcmp,geop,topog
0,142.49374,142.49374,142.5005,142.5005
1,142.50725,142.50725,142.514,142.514
2,142.52074,142.52074,142.5275,142.5275
3,142.53424,142.53424,142.541,142.541
4,142.54774,142.54774,142.5545,142.5545
5,142.56125,142.56125,142.56801,142.56801
6,142.57474,142.57474,142.5815,142.5815
7,142.58824,142.58824,142.595,142.595
8,142.60175,142.60175,142.6085,142.6085
9,142.61525,142.61525,142.62201,142.62201
10,142.62874,142.62874,142.6355,142.6355
11,142.64224,142.64224,142.649,142.649
12,142.65575,142.65575,142.6625,142.6625
13,142.66925,142.66925,142.67601,142.67601
14,142.68274,142.68274,142.6895,142.6895
15,142.69624,142.69624,142.703,142.703
16,142.70975,142.70975,142.7165,142.7165
17,142.72325,142.72325,142.73001,142.73001
18,142.73674,142.73674,142.7435,142.7435
19,142.75024,142.75024,142.757,142.757
20,142.76375,142.76375,142.77051,142.77051
21,142.77724,142.77724,142.784,142.784
22,142.79074,142.79074,142.7975,142.7975
23,142.80424,142.80424,142.811,142.811
24,142.81775,142.81775,142.82451,142.82451
25,142.83124,142.83124,142.838,142.838
26,142.84474,142.84474,142.8515,142.8515
27,142.85825,142.85825,142.865,142.865
28,142.87175,142.87175,142.87851,142.87851
29,142.88524,142.88524,142.892,142.892
30,142.89874,142.89874,142.9055,142.9055
31,142.91225,142.91225,142.919,142.919
32,142.92575,142.92575,142.93251,142.93251
33,142.93924,142.93924,142.946,142.946
34,142.95274,142.95274,142.9595,142.9595
35,142.96625,142.96625,142.973,142.973
36,142.97974,142.97974,142.9865,142.9865
37,142.99324,142.99324,143.0,143.0
38,143.00674,143.00674,143.0135,143.0135
39,143.02025,143.02025,143.02701,143.02701
40,143.03374,143.03374,143.0405,143.0405
41,143.04724,143.04724,143.054,143.054
42,143.06075,143.06075,143.0675,143.0675
43,143.07425,143.07425,143.08101,143.08101
44,143.08774,143.08774,143.0945,143.0945
45,143.10124,143.10124,143.108,143.108
46,143.11475,143.11475,143.1215,143.1215
47,143.12825,143.12825,143.13501,143.13501
48,143.14174,143.14174,143.1485,143.1485
49,143.15524,143.15524,143.162,143.162
50,143.16875,143.16875,143.1755,143.1755
51,143.18225,143.18225,143.18901,143.18901
52,143.19574,143.19574,143.2025,143.2025
53,143.20924,143.20924,143.216,143.216
54,143.22275,143.22275,143.2295,143.2295
55,143.23624,143.23624,143.243,143.243
56,143.24974,143.24974,143.2565,143.2565
57,143.26324,143.26324,143.27,143.27
58,143.27675,143.27675,143.28351,143.28351
59,143.29024,143.29024,143.297,143.297
60,143.30374,143.30374,143.3105,143.3105
61,143.31725,143.31725,143.324,143.324
62,143.33075,143.33075,143.33751,143.33751
63,143.34424,143.34424,143.351,143.351
64,143.35774,143.35774,143.3645,143.3645
65,143.37125,143.37125,143.378,143.378
66,143.38475,143.38475,143.39151,143.39151
67,143.39824,143.39824,143.405,143.405
68,143.41174,143.41174,143.4185,143.4185
69,143.42525,143.42525,143.432,143.432
70,143.43875,143.43875,143.44551,143.44551
71,143.45224,143.45224,143.459,143.459
72,143.46574,143.46574,143.4725,143.4725
73,143.47925,143.47925,143.48601,143.48601
74,143.49274,143.49274,143.4995,143.4995
75,143.50624,143.50624,143.513,143.513
76,143.51974,143.51974,143.5265,143.5265
77,143.53325,143.53325,143.54001,143.54001
78,143.54674,143.54674,143.5535,143.5535
79,143.56024,143.56024,143.567,143.567
80,143.57375,143.57375,143.5805,143.5805
81,143.58725,143.58725,143.59401,143.59401
82,143.60074,143.60074,143.6075,143.6075
83,143.61424,143.61424,143.621,143.621
84,143.62775,143.62775,143.6345,143.6345
85,143.64125,143.64125,143.64801,143.64801
86,143.65474,143.65474,143.6615,143.6615
87,143.66824,143.66824,143.675,143.675
88,143.68175,143.68175,143.6885,143.6885
89,143.69525,143.69525,143.70201,143.70201
90,143.70874,143.70874,143.7155,143.7155
91,143.72224,143.72224,143.729,143.729
92,143.73575,143.73575,143.74251,143.74251
93,143.74924,143.74924,143.756,143.756
94,143.76274,143.76274,143.7695,143.7695
95,143.77625,143.77625,143.783,143.783
96,143.78975,143.78975,143.79651,143.79651
97,143.80324,143.80324,143.81,143.81
98,143.81674,143.81674,143.8235,143.8235
99,143.83025,143.83025,143.837,143.837
100,143.84375,143.84375,143.85051,143.85051
101,143.85724,143.85724,143.864,143.864
102,143.87074,143.87074,143.8775,143.8775
103,143.88425,143.88425,143.891,143.891
104,143.89775,143.89775,143.90451,143.90451
105,143.91124,143.91124,143.918,143.918
106,143.92474,143.92474,143.9315,143.9315
107,143.93825,143.93825,143.945,143.945
108,143.95174,143.95174,143.9585,143.9585
109,143.96524,143.96524,143.972,143.972
110,143.97874,143.97874,143.9855,143.9855
111,143.99225,143.99225,143.99901,143.99901
112,144.00574,144.00574,144.0125,144.0125
113,144.01924,144.01924,144.026,144.026
114,144.03275,144.03275,144.0395,144.0395
115,144.04625,144.04625,144.05301,144.05301
116,144.05974,144.05974,144.0665,144.0665
117,144.07324,144.07324,144.08,144.08
118,144.08675,144.08675,144.0935,144.0935
119,144.10025,144.10025,144.10701,144.10701
120,144.11374,144.11374,144.1205,144.1205
121,144.12724,144.12724,144.134,144.134
122,144.14075,144.14075,144.1475,144.1475
123,144.15425,144.15425,144.16101,144.16101
124,144.16774,144.16774,144.1745,144.1745
125,144.18124,144.18124,144.188,144.188
126,144.19475,144.19475,144.2015,144.2015
127,144.20824,144.20824,144.215,144.215
128,144.22174,144.22174,144.2285,144.2285
129,144.23524,144.23524,144.242,144.242
130,144.24875,144.24875,144.25551,144.25551
131,144.26224,144.26224,144.269,144.269
132,144.27574,144.27574,144.2825,144.2825
133,144.28925,144.28925,144.296,144.296
134,144.30275,144.30275,144.30951,144.30951
135,144.31624,144.31624,144.323,144.323
136,144.32974,144.32974,144.3365,144.3365
137,144.34325,144.34325,144.35,144.35
138,144.35675,144.35675,144.36351,144.36351
139,144.37024,144.37024,144.377,144.377
140,144.38374,144.38374,144.3905,144.3905
141,144.39725,144.39725,144.404,144.404
142,144.41075,144.41075,144.41751,144.41751
143,144.42424,144.42424,144.431,144.431
144,144.43774,144.43774,144.4445,144.4445
145,144.45125,144.45125,144.45801,144.45801
146,144.46474,144.46474,144.4715,144.4715
147,144.47824,144.47824,144.485,144.485
148,144.49174,144.49174,144.4985,144.4985
149,144.50525,144.50525,144.51201,144.51201
150,144.51874,144.51874,144.5255,144.5255
151,144.53224,144.53224,144.539,144.539
152,144.54575,144.54575,144.5525,144.5525
153,144.55925,144.55925,144.56601,144.56601
154,144.57274,144.57274,144.5795,144.5795
155,144.58624,144.58624,144.593,144.593
156,144.59975,144.59975,144.6065,144.6065
157,144.61325,144.61325,144.62001,144.62001
158,144.62674,144.62674,144.6335,144.6335
159,144.64024,144.64024,144.647,144.647
160,144.65375,144.65375,144.6605,144.6605
161,144.66724,144.66724,144.67401,144.67401
162,144.68074,144.68074,144.6875,144.6875
163,144.69424,144.69424,144.701,144.701
164,144.70775,144.70775,144.71451,144.71451
165,144.72124,144.72124,144.728,144.728
166,144.73474,144.73474,144.7415,144.7415
167,144.74825,144.74825,144.755,144.755
168,144.76175,144.76175,144.76851,144.76851
169,144.77524,144.77524,144.782,144.782
170,144.78874,144.78874,144.7955,144.7955
171,144.80225,144.80225,144.809,144.809
172,144.81575,144.81575,144.82251,144.82251
173,144.82924,144.82924,144.836,144.836
174,144.84274,144.84274,144.8495,144.8495
175,144.85625,144.85625,144.863,144.863
176,144.86975,144.86975,144.87651,144.87651
177,144.88324,144.88324,144.89,144.89
178,144.89674,144.89674,144.9035,144.9035
179,144.91025,144.91025,144.917,144.917
180,144.92374,144.92374,144.9305,144.9305
